"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L08032BR1992PLC004781","12-02-1992","MS SECURITIES LIMITED","ACTIVE","Public","Company Limited by Shares","50,000,000.00","41,719,000.00","Bihar","RoC-Patna",NA,"601B, ASHIANA PLAZA BUDH MARGPATNA, BIHAR PATNA, BIHAR Bihar INDIA","Indian Non-Government Company"
"L15310BR1987PLC002657","17-06-1987","AMBUJA ZINC LIMITED","DORMANT","Public","Company Limited by Shares","100,000,000.00","39,600,000.00","Bihar","RoC-Patna","Manufacturing (Food stuffs)","AMBUJA HOUSE 297, PATLIPUTRA COLONY PATNA Bihar INDIA 800013","Indian Non-Government Company"
"L15421BR1964PLC006630","11-12-1964","EASTERN SUGAR & INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","500,000,000.00","269,001,000.00","Bihar","RoC-Patna","Manufacturing (Food stuffs)","PO. HANUMAN SUGAR MILLS,MOTIHARI, P.S.-MOTIHARI EAST CHAMPARAN Bihar INDIA 845401","Indian Non-Government Company"
"L21090BR1918PLC000013","9-07-1918","HINDUSTAN MEDIA VENTURES LIMITED","ACTIVE","Public","Company Limited by Shares","870,000,000.00","733,937,700.00","Bihar","RoC-Patna","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","BUDH MARG, P.S.-KOTWALI PATNA Bihar INDIA 800001","Indian Non-Government Company"
"L22219BR1993PLC005247","15-03-1993","SHREE VAISHNAVI DYEING & PRINTINGS LIMITED","DORMANT","Public","Company Limited by Shares","50,000,000.00","49,100,000.00","Bihar","RoC-Patna","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","KRISHNA BUILDING, 2ND FLOOR, S.P.VERMA ROAD PATNA Bihar INDIA 800001","Indian Non-Government Company"
"L26913BR1983PLC001842","23-06-1983","BODH GAYA CERAMICS LIMITED","DORMANT","Public","Company Limited by Shares","20,000,000.00","4,247,200.00","Bihar","RoC-Patna","Manufacturing (Metals & Chemicals, and products thereof)","GEETA COMPLEX 3RD FLOOR, EAST BORING CANAL ROAD, NEAR BORNING ROAD CROSSING, PATNA Bihar INDIA 800001","Indian Non-Government Company"
"L26940BR1991PLC007980","5-06-1991","LAKSHMI CEMENT & CERAMICS INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","170,000,000.00","84,600,000.00","Bihar","RoC-Patna","Manufacturing (Metals & Chemicals, and products thereof)","C/O. MR. SANJEEV RANJAN, SHRISTI ROAD NO. 23, SHRIKRISHNA NAGAR, PATNA Bihar INDIA 800001","Indian Non-Government Company"
"L26956BR1995PLC006370","22-02-1995","NIRMAN CEMENTS LIMITED","ACTIVE","Public","Company Limited by Shares","75,000,000.00","41,659,000.00","Bihar","RoC-Patna","Manufacturing (Metals & Chemicals, and products thereof)","501-B, ASHIANA CHAMBERS EXHIBITION ROAD PATNA Bihar INDIA 800001","Indian Non-Government Company"
"L27100BR1986PLC002413","26-08-1986","PROGRESSIVE STEELS (INDIA) LIMITED","ACTIVE","Public","Company Limited by Shares","60,000,000.00","50,342,670.00","Bihar","RoC-Patna","Manufacturing (Metals & Chemicals, and products thereof)","DIGHA GHAT PATNA P.S.DIGHA PATNA Bihar INDIA 800011","Indian Non-Government Company"
"L27101BR1992PLC004967","15-07-1992","DINA IRON & STEEL LIMITED","ACTIVE","Public","Company Limited by Shares","95,000,000.00","67,298,250.00","Bihar","RoC-Patna","Manufacturing (Metals & Chemicals, and products thereof)","ABDUL REHMANPUR ROADDIDARGANJ PATNACITY DIDRGANJ Bihar INDIA 800009","Indian Non-Government Company"
"L27101BR1992PLC005129","7-12-1992","GANGOTRI IRON & STEEL COMPANY LIMITED","ACTIVE","Public","Company Limited by Shares","200,000,000.00","134,117,940.00","Bihar","RoC-Patna","Manufacturing (Metals & Chemicals, and products thereof)","307 ASHIANA TOWERSEXHIBITION ROAD PATNA Bihar INDIA 800001","Indian Non-Government Company"
"L27105BR1971PLC000891","7-05-1971","MSL INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","150,000,000.00","86,889,870.00","Bihar","RoC-Patna","Manufacturing (Metals & Chemicals, and products thereof)","URMILA BHAWAN MOHALLA - KURJI (BALUPAR) SADAKAT ASHRAM Bihar INDIA 800010","Indian Non-Government Company"
"L27106BR1988PLC003002","26-05-1988","GANESH FOUNDRY & CASTINGS LIMITED","ACTIVE","Public","Company Limited by Shares","60,000,000.00","44,020,000.00","Bihar","RoC-Patna","Manufacturing (Metals & Chemicals, and products thereof)","VILL.- SIPAHPUR, P.O.- BHIKHANPUR KOTHI MUZAFFARPUR Bihar INDIA 842001","Indian Non-Government Company"
"L27106BR1989PLC003364","29-03-1989","AMBUJA ELECTRO CASTINGS LIMITED","DORMANT","Public","Company Limited by Shares","150,000,000.00","122,774,800.00","Bihar","RoC-Patna","Manufacturing (Metals & Chemicals, and products thereof)","AMBUJA HOUSE 297, PATLIPUTRA COLONY PATNA Bihar INDIA 800013","Indian Non-Government Company"
"L27107BR1995PLC006446","7-04-1995","KAMPER CONCAST LIMITED","ACTIVE","Public","Company Limited by Shares","120,000,000.00","94,181,000.00","Bihar","RoC-Patna","Manufacturing (Metals & Chemicals, and products thereof)","N.P. CENTRE DAKBUNGLOW ROAD DIST. PATNA Bihar INDIA 800001","Indian Non-Government Company"
"L27200BR1994PLC005961","6-07-1994","JMD ALLOYS LIMITED","ACTIVE","Public","Company Limited by Shares","105,000,000.00","96,777,500.00","Bihar","RoC-Patna","Manufacturing (Metals & Chemicals, and products thereof)","USHA COMPLEX KANKARBAGH ROAD PATNA Bihar INDIA 800020","Indian Non-Government Company"
"U00002BR2000PTC009434","19-10-2000","ANIKET NANDAN FOODS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"VILL- MANCHITWAP.O- DARIAPUR VIS- SHITALPUR CHAPRA, SARAN Bihar INDIA","Indian Non-Government Company"
"U00003BR1988PTC003007","27-05-1988","PRAMANIT MASINA BEEJ PVT LTD","STRIKE OFF","Private","Company Limited by Shares","100,000.00","100,000.00","Bihar","RoC-Patna",NA,"AT. MILKI PO.MASINA POSAMASTIPUR PS SAMASTIPUR SAMASTIPUR PS SAMASTIPUR Bihar INDIA","Indian Non-Government Company"
"U00003BR1989PTC003314","22-02-1989","R S AGRO PRODUCE & MARKETING COMPANY PVT LTD.","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"SHAHEED CHAWK KATIHAR (BIHAR)P.S.KATIHAR. P.S.KATIHAR. Bihar INDIA","Indian Non-Government Company"
"U00003BR1993PLC005650","30-12-1993","RAHAT HOME AND PLANTATION INVESTMENT (INDIA) LTD.","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","500,000.00","500,000.00","Bihar","RoC-Patna",NA,"D/2, GANDAKPROJECT COLONY, P.O.HAJIPUR DIST.. VAISHALI P.S. HAJIPUR TOWN STATION P.S. HAJIPUR TOWN STATION Bihar INDIA","Indian Non-Government Company"
"U00003BR1993PTC005334","18-05-1993","HINA PLANTATION PVT. LTD.","STRIKE OFF","Private","Company Limited by Shares","300,000.00",NA,"Bihar","RoC-Patna",NA,"AT & P.O. MANIKPURA DISTCHAPRA SARAN, PS CHAPRA SARAN, PS Bihar INDIA","Indian Non-Government Company"
"U00003BR1993PTC005574","11-11-1993","SHIVAM PLANTATION PRIVATE LIMITED.","UNDER LIQUIDATION","Private","Company Limited by Shares","500,000.00","260,000.00","Bihar","RoC-Patna",NA,"MAHENDRA LOK COMPLEX LOHIANAGAR, KANKAR BAGH, P.S. KANKAR BAGH, PATNA. PATNA Bihar INDIA","Indian Non-Government Company"
"U00003BR1993PTC005589","25-11-1993","ZAM ZAM AGRO PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","200,000.00","2,000.00","Bihar","RoC-Patna",NA,"PE PE COMPOUND MAIN ROAD,RANCHI, P.S. RANCHI. P.S.RANCHI RANCHI Bihar INDIA","Indian Non-Government Company"
"U00003BR1994PTC005764","9-03-1994","CIDOWN FORESTATION PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","200,000.00","20,000.00","Bihar","RoC-Patna",NA,"DEO HOME COLONY MORE,KANKARBAGH, P.S.KANKARBAGH PATNA Bihar INDIA 800020","Indian Non-Government Company"
"U00003BR1994PTC005804","21-03-1994","MANIMURTY AGRO PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","1,000,000.00","100,000.00","Bihar","RoC-Patna",NA,"BAGHA CHOWK, P.S. & DISTT.BEGUSARAI. BEGUSARAI BEGUSARAI Bihar INDIA 851101","Indian Non-Government Company"
"U00003BR1995PLC006462","19-04-1995","NATH FOREST (INDIA) LIMITED","STRIKE OFF","Public","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"HOUSE OF MR. S.N.SINGH,GATE NO. 49,MAINPURA, PS. PATLIPUTRA, DIST. PATNA PS. PATLIPUTRA, DIST. PATNA Bihar INDIA","Indian Non-Government Company"
"U00003BR1995PLC006943","26-12-1995","MEGA AGRO TISSUE LIMITED","DORMANT","Public","Company Limited by Shares","5,000,000.00","43,000.00","Bihar","RoC-Patna",NA,"ROAD N0-11F,RAJENDRA NAGAR,DIST. PATNA-16 PATNA Bihar INDIA 800016","Indian Non-Government Company"
"U00003BR1995PTC006299","19-01-1995","BOUDH VIHAR PLANTATION PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"L.I.G.-112,CHANAKYAPURI COLONYDIST - GAYA 823 001 DIST - GAYA 823 001 Bihar INDIA","Indian Non-Government Company"
"U00003BR1995PTC006489","3-05-1995","TECHNO SEEDS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"VAISHALI HOUSE NEAR GANESHCINEMA HALL,HAJIPUR, PS. HAJIPUR, DISTT. VAISHALI Bihar INDIA","Indian Non-Government Company"
"U00003BR1995PTC006595","12-07-1995","APEX PLANTATIONS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"1ST MAHAJAN TOLI,PO.ARRAH,PS.ARRAH TOWN, DIST. BHOJPUR DIST. BHOJPUR Bihar INDIA","Indian Non-Government Company"
"U00003BR1995PTC006621","20-07-1995","VALMIKI PLANTATION & AGRO PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"TIWARI SADAN,SRI KRISHNA NAGARCHAKARAM CHOWK PS.S.K.NAGAR, DIST. PATNA DIST. PATNA Bihar INDIA","Indian Non-Government Company"
"U00003BR1995PTC006761","29-09-1995","RAI MASINA BEEJ PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","100,000.00",NA,"Bihar","RoC-Patna",NA,"VILL.& POST.KORAIY VIAGARHPURA,PS.GARHPURA, DIST.BEGUSARAI DIST.BEGUSARAI Bihar INDIA","Indian Non-Government Company"
"U00003BR1995PTC006915","14-12-1995","JAI SHAKTI AGRO PRODUCTS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00",NA,"Bihar","RoC-Patna",NA,"GOPAL MARKET ,MITHAPUR,PS.JAKKANPUR, DIST.PATNA. DIST.PATNA. Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PLC007133","26-03-1996","GRACE PLANTATION (INDIA) LIMITED","STRIKE OFF","Public","Company Limited by Shares","500,000.00","14,000.00","Bihar","RoC-Patna",NA,"MARWARI COLONY,MAIDA TOLI,PATNA CITY PS.KHAJEKALA PATNA Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PLC007265","22-05-1996","BADRIKA PLANTATIONS LIMITED","ACTIVE","Public","Company Limited by Shares","10,000,000.00","450,000.00","Bihar","RoC-Patna",NA,"PUSHPANJALI MARKET,1ST FLOOR,KADAM KUAN PS.KADAM KUAN, DIST. PATNAA-3. DIST. PATNAA-3. Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PLC007282","28-05-1996","GOOD DAY PLANTATION & HOUSING LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","1,000,000.00","10,000.00","Bihar","RoC-Patna",NA,"SAHEB MANZIL,TELHATTA BAZAR,PO & PS. SIWAN, SIWAN Bihar INDIA 841226","Indian Non-Government Company"
"U00003BR1996PLC007334","25-06-1996","PURNEA PLANTATION INDIA LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","500,000.00","7,000.00","Bihar","RoC-Patna",NA,"SIPAHI TOLA,PS. K.HAT PURNEA, PURNIA Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PLC007346","2-07-1996","PANCHVATI PLANTATION & DEVELOPERS LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","1,000,000.00","35,000.00","Bihar","RoC-Patna",NA,"RAMBAGH, P.P. ROAD,PS.BUXAR, BUXAR Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PLC007380","22-07-1996","JAI MATA KRIPALU PLANTATION (INDIA) LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","500,000.00","7,000.00","Bihar","RoC-Patna",NA,"BIRPUR,PS. BIRPUR, SUPAUL Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PLC007382","22-07-1996","PARMATMA AGRO SAVINGS INDIA LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","500,000.00","100","Bihar","RoC-Patna",NA,"MAHATMA GANDHI NAGAR,KANTI FACTORY ROAD, PS. KANKANBAGH, PATNA Bihar INDIA 800020","Indian Non-Government Company"
"U00003BR1996PLC007439","27-08-1996","MODERN PLANTATION & FISHRIES LIMITED","STRIKE OFF","Public","Company Limited by Shares","2,000,000.00",NA,"Bihar","RoC-Patna",NA,"DUMRA ROAD, PO. SITAMARHI-2,DIST. SITAMARHI. DIST. SITAMARHI. Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PLC007584","4-12-1996","ANURAG PLANTATIONS INDIA LIMITED","STRIKE OFF","Public","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"ANURAG PLANTATIONS INDIA LTD.AT .AND P.O. SANDESH DISTT. BHOJPUR DISTT. BHOJPUR Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PTC007004","19-01-1996","GREENVIEW NURSERIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,500,000.00","100,000.00","Bihar","RoC-Patna",NA,"AT.RAMNAGRI ,SECTOR-1,PS.ASHIANA NAGAR, PS.PATEL NAGAR, DIST. PATNA-25. Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PTC007116","14-03-1996","PEOPLES PLANTATION AND AGROTECH (INDIA) PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","60,000.00","Bihar","RoC-Patna",NA,"IRTAZA MANZIL,AZZAD NAGAR PS.ARARIA ARARIA Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PTC007195","17-04-1996","SWARN DHARA PLANTATION (INDIA)PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","500,000.00","15,000.00","Bihar","RoC-Patna",NA,"H/O KRISHNA BIHARI PRASAD,NILKANTH COLONY,KHAJPURA PS.SHASTRI NAGAR, PATNA Bihar INDIA 800014","Indian Non-Government Company"
"U00003BR1996PTC007214","22-04-1996","AMBER PLANTATION PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","500,000.00","5,500.00","Bihar","RoC-Patna",NA,"509,ASHIANA TOWERS,EXHIBITION ROAD, PS.GANDHI MAIDAN, PATNA Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PTC007229","26-04-1996","SUNDARVAN AGRO FARMS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","150,000.00","Bihar","RoC-Patna",NA,"JANAK KISHORE ROAD,KADAM KUAN, PS.KADAM KUAN, PATNA Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PTC007259","21-05-1996","KOSHIKA AGRO FARMS PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","500,000.00","3,000.00","Bihar","RoC-Patna",NA,"GUPTA BHAWAN,3RD FLOOR,OPP. AKHARA RPM KRISHNA LANE, LANGARTOLI,PS.PIRBAHORE, PATNA Bihar INDIA 800004","Indian Non-Government Company"
"U00003BR1996PTC007288","30-05-1996","SWARNA AGRO PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,500,000.00",NA,"Bihar","RoC-Patna",NA,"RAJDHANI PALACE,SHASTRI NAGAR,PS. SHASTRI NAGAR, DIST. PATNA-23. DIST. PATNA-23. Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PTC007302","6-06-1996","CHARMWOOD PLANTATIONS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","220,000.00","Bihar","RoC-Patna",NA,"5 C/2,MANNA SINGH LANE,NORTH SRI KRISHNAPURI, PS.S.K.PURI, PATNA Bihar INDIA 800013","Indian Non-Government Company"
"U00003BR1996PTC007339","27-06-1996","ROYAL FORESTRIES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"PATNA MUZAFFARPUR ROAD,PS.HAJIPUR, DIST. MUZAFFARPUR. DIST. MUZAFFARPUR. Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PTC007349","3-07-1996","SATNA PLANTATION PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"BAKARGANJ KALA MANCH,PS. GANDHI MAIDAN, DIST. PATNA. DIST. PATNA. Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PTC007367","10-07-1996","YADUBANSHI MASINA BEEJ PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","100,000.00","3,000.00","Bihar","RoC-Patna",NA,"TAJPUR ROAD,SAMASTIPUR,PS. SAMASTIPUR, SAMASTIPUR Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PTC007368","11-07-1996","SELECTION HOUSING AND AGRO PLANTATION PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","500,000.00","20,000.00","Bihar","RoC-Patna",NA,"C-C. 20,P.C.COLONY,KANKARBAGH, PS. KANKARBAGH, PATNA Bihar INDIA 800020","Indian Non-Government Company"
"U00003BR1996PTC007372","12-07-1996","QUICK PROCESSING AND PLANTATION COMPANY PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","500,000.00","20,000.00","Bihar","RoC-Patna",NA,"BEGAMPUR BAHRIPS. CHOWK PATNA CITY, PATNA Bihar INDIA 800009","Indian Non-Government Company"
"U00003BR1996PTC007463","12-09-1996","FEATHERS AGROTECH (INDIA) PRIVATE LIMITED.","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"400/12, LIG, HANUMAN NAGAR,PATNA - 800 020. PATNA - 800 020. Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PTC007513","16-10-1996","BABA PANCHAWADAN & CONSTRUCTIONS PRIVATE LIMITED.","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"DHERSENI,BARBIGHA, DISTT. MONGHER BIHAR. Bihar INDIA","Indian Non-Government Company"
"U00003BR1996PTC007558","22-11-1996","NAGINA FARMINGS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"VILL. MAHMADPUR,P.O. SIDHWALIA, PS. MAHMADPUR, DISTT. GOPALGANJ. DISTT. GOPALGANJ. Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC007677","28-01-1997","MAGADH PLANTATIONS COMPANY LIMITED","STRIKE OFF","Public","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"H/O SRI BRAJ KISHORE RAI,KAILASH PURI PO. & PS. DUMRA, DIST. SITAMARHI. DIST. SITAMARHI. Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC007708","7-02-1997","PRASLIN FARMINGS LIMITED","ACTIVE","Public","Company Limited by Shares","5,000,000.00","500,000.00","Bihar","RoC-Patna",NA,"A-19, 2ND FLOOR, MAURYA LOK COMPLEX, PATNA PATNA Bihar INDIA 800001","Indian Non-Government Company"
"U00003BR1997PLC007710","7-02-1997","ASHWANI MARKETING LIMITED","ACTIVE","Public","Company Limited by Shares","1,000,000.00","500,000.00","Bihar","RoC-Patna",NA,"2nd FLOOR , KRISHNA BUILDING S. P. VERMA ROAD PATNA Bihar INDIA 800001","Indian Non-Government Company"
"U00003BR1997PLC007731","18-02-1997","VENUS GREENERIES LIMITED","ACTIVE","Public","Company Limited by Shares","2,500,000.00","2,497,000.00","Bihar","RoC-Patna",NA,"C/O JWALA PRASAD SINGH, SHOP NO. 2, GANGA TOWER, LCT GHAT, MAINPURA PATNA Bihar INDIA 800001","Indian Non-Government Company"
"U00003BR1997PLC007797","17-03-1997","GROWELTH INDIA HORTICULTURE & PLANTATION LIMITED","STRIKE OFF","Public","Company Limited by Shares","2,500,000.00",NA,"Bihar","RoC-Patna",NA,"ASHIANA GLAXY ,ROOM N0-112-B,EXHIBITION ROAD, PATNA-1. PATNA-1. Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC007889","25-04-1997","SUNDARAM VANIKY INDIA LIMITED","STRIKE OFF","Public","Company Limited by Shares","2,000,000.00",NA,"Bihar","RoC-Patna",NA,"VILL. HASANPUR SURAT,PALORY, DIST. SAMASTIPUR. DIST. SAMASTIPUR. Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC007900","29-04-1997","GRAMEEN AGRO PLANTATIONS LIMITED","STRIKE OFF","Public","Company Limited by Shares","1,000,000.00",NA,"Bihar","RoC-Patna",NA,"OLD CINEMA HALL, BANK ROAD,MOTIPUR, MUZAFFARPUR. MUZAFFARPUR. Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC007961","3-06-1997","KONARK FORESTRY & RESORT LIMITED.","STRIKE OFF","Public","Company Limited by Shares","1,000,000.00",NA,"Bihar","RoC-Patna",NA,"MOHALLA- MEDENIMAL,P.O. P.S.- HAJIPUR, DISTT.-VAISHALI DISTT.-VAISHALI Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC008040","22-07-1997","PREMIER CULTIVATION COMPANY LIMITED","STRIKE OFF","Public","Company Limited by Shares","500,000.00","20,000.00","Bihar","RoC-Patna",NA,"KISHANGANJ SALAM COLONY KISHAN GANJ Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC008058","30-07-1997","SATYAM BATIKA LIMITED","STRIKE OFF","Public","Company Limited by Shares","1,000,000.00","210,000.00","Bihar","RoC-Patna",NA,"DOGHARA NIWAS RJO PATH DUMRA ROAD SITAMARHI Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC008161","17-09-1997","PUSHPHARA PLANTATION LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","500,000.00","25,000.00","Bihar","RoC-Patna",NA,"H/O OM PRAKASH GUPTA,NAI BAZAR,WARD N0.13, DIST. BUXAR. BUXAR Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC008183","13-10-1997","GREEN GALAXY PLANTATION LIMITED","STRIKE OFF","Public","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"401-A, GAGAN APPT.EXHIBITION ROAD, PATNA - 800 001 PATNA - 800 001 Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC008190","20-10-1997","DEJAL PLANTATIONS INDIA LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","500,000.00","170,000.00","Bihar","RoC-Patna",NA,"GRAND SHREE-II,FIRST FLOOR,EXHIBITION ROAD,PATNA EXHIBITION ROAD PATNA Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC008201","24-10-1997","BIHAR FARMING INDIA LIMITED","STRIKE OFF","Public","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"C/O INDIA MACHENARY STORES,EXHIBITION ROAD, PATNA 800 001. PATNA 800 001. Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC008208","29-10-1997","DHANPATH PLANTATIONS LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","500,000.00","7,000.00","Bihar","RoC-Patna",NA,"HOUSE OF SRI RAM BILASH PD. CHIRANYANTAR NEAR DEVISTHAN, KANKARBAGH PATNA Bihar INDIA 800001","Indian Non-Government Company"
"U00003BR1997PLC008213","4-11-1997","VATIKA PLANTATION & FISHERIES LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","1,000,000.00","42,500.00","Bihar","RoC-Patna",NA,"DUMRA ROAD,SITAMARHI SITAMARHI Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC008226","11-11-1997","PITAMBERA PLANTATIONS LIMITED","STRIKE OFF","Public","Company Limited by Shares","1,000,000.00",NA,"Bihar","RoC-Patna",NA,"201,KASHI PLACE,DAKBUNGLOWROAD,PATNA. ROAD,PATNA. Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC008229","17-11-1997","ADHAR PLANTATIONS INDIA LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","500,000.00","5,000.00","Bihar","RoC-Patna",NA,"MOH. BHRAMPURA,PO. MIT,DIST. MUZAFFARPUR. MUZAFFARPUR Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC008234","20-11-1997","JAI-MILAN AGRO-TECHNOLOGIES INDIA LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","500,000.00","15,000.00","Bihar","RoC-Patna",NA,"AT. MAIN ROAD KASHI BAZAR,NEAR ARGANI,STONE CHIPS, PS.BHAGWAN BAZAR,CHAPRA, SARAN Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PLC008238","24-11-1997","KARSHINI INDIA PLANTATIONS LIMITED","DORMANT","Public","Company Limited by Shares","500,000.00","90,000.00","Bihar","RoC-Patna",NA,"207,JAGAT TRADE CENTRE,FRASER ROAD,PATNA-1. FRASER ROAD PATNA Bihar INDIA 800001","Indian Non-Government Company"
"U00003BR1997PLC008283","29-12-1997","GOLD LINE FOREST (INDIA) LIMITED","DORMANT","Public","Company Limited by Shares","2,500,000.00","90,000.00","Bihar","RoC-Patna",NA,"NEW PUNAICHAK ,H/O SUSHIL PRASAD BORING CANAL ROAD,NEAR INDIRA BHAWAN, PATNA Bihar INDIA 800023","Indian Non-Government Company"
"U00003BR1997PTC007691","3-02-1997","JEEVANDEEP PLANTATION PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Bihar","RoC-Patna",NA,"SANJAY GANDHI NAGAR,ROAD N0-7,HANUMAN NAGAR, KANKARBAGH, PATNA-20 Bihar INDIA","Indian Non-Government Company"
"U00003BR1997PTC007754","26-02-1997","VISHWANPUR PLANTATIONS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00",NA,"Bihar","RoC-Patna",NA,"H/O SRI BIRENDRA KUMAR SINHA BEHIND RAJ SERVICE STATION, CITY COURT, DIST. PATNA. Bihar INDIA","Indian Non-Government Company"
