"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U74120UP2014OPC066153","18-09-2014","BAILIWICK MANAGEMENT PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","389/27 KRISHNA NAGAR MEERUT ROAD GHAZIABAD Uttar Pradesh INDIA 201003","Indian Non-Government Company"
"U74120UP2014OPC066171","19-09-2014","BRIGHT CAREER PLACEMENTS PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","76, GALI NO. 4, PHAZE-II, BB-63715, CB-2203, SHANKER VIHAR GHAZIABAD Uttar Pradesh INDIA 201001","Indian Non-Government Company"
"U74120UP2014OPC066208","22-09-2014","RED CASTLE TECHNOLOGIES OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","H. NO- 6/2-113 INDRA NAGAR VARANASI Uttar Pradesh INDIA 221001","Indian Non-Government Company"
"U74120UP2014OPC066282","25-09-2014","P AND P SECURITY AND TECHNOLOGY OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","H.NO. 138, SECTOR-4-1 POLICE SATAION JAGDISHPURA, TEHSIL AGRA AGRA Uttar Pradesh INDIA 282002","Indian Non-Government Company"
"U74120UP2014OPC066347","30-09-2014","AHK INFRA ENTERPRISES PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","500,000.00","500,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","538KHA/119, BIR ABDUL HAMID LANE PRABHUDAYAL NAGAR, KHADRA LUCKNOW Uttar Pradesh INDIA 226020","Indian Non-Government Company"
"U74120UP2014OPC066352","30-09-2014","EAGLEVISION SECURITY GUARDS SERVICES PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","UGF-19, KRISHNA COMPLEX CHANDGANJ, GARDEN, ALIGANJ LUCKNOW Uttar Pradesh INDIA 226024","Indian Non-Government Company"
"U74120UP2014OPC066355","30-09-2014","DE-RISK ADVISORS (OPC) PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","C 33/60-B-2G, CHANDUA,CHHITTUPUR VARANASI Uttar Pradesh INDIA 221010","Indian Non-Government Company"
"U74120UP2014OPC066365","30-09-2014","PROFUTRA PHARMACEUTICAL PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","H.No 47 B Block Lal Bagh, loni Nagar, Ghaziabad Uttar Pradesh INDIA 201102","Indian Non-Government Company"
"U74120UP2014OPC066372","30-09-2014","BHUPENDRA TEXTILES (OPC) PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","328 Ganja Allhabad Uttar Pradesh INDIA 211012","Indian Non-Government Company"
"U74120UP2014OPC066552","14-10-2014","SHARADHA SHABURI CONSTRUCTION PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","62A/02/DT-27 PREM VIHAR, KHODA GHAZIABAD Uttar Pradesh INDIA 201009","Indian Non-Government Company"
"U74120UP2014OPC066567","15-10-2014","GKR FREIGHT CARRIER INDIA OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","G-120, GROUNDFLOOR SECTOR 63 Noida Uttar Pradesh INDIA 201301","Indian Non-Government Company"
"U74120UP2014OPC066580","16-10-2014","SUBWAYSIDE SERVICES PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","E-174, Dakshini Krishnapuri Near Shiv Mandir, Near Prempuri Area Muzaffarnagar Uttar Pradesh INDIA 251001","Indian Non-Government Company"
"U74120UP2014OPC066591","17-10-2014","TALENT PARADIGM CONSULTING OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","A-090004, EBONY GREENS, NH24, LAL KAUN SAHAPUR, BAMHETA GHAZIABAD Uttar Pradesh INDIA 201001","Indian Non-Government Company"
"U74120UP2014OPC066629","20-10-2014","MASTEK INFOSYSTEMS OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","H.N.96/KHA-83,VASISTHA VIHAR COLONY,KHARGAPUR RAMASREY PURWA,GOMTI NAGAR LUCKNOW Uttar Pradesh INDIA 226010","Indian Non-Government Company"
"U74120UP2014OPC066676","21-10-2014","HRIDDHISIDDHI LABS OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","N 8/239 NEWADA, SUNDERPUR VARANASI Uttar Pradesh INDIA 221005","Indian Non-Government Company"
"U74120UP2014OPC066683","22-10-2014","MMS MEDIA SOLUTIONS OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","E-21, LAJPAT NAGAR GHAZIABAD SHAHIBABAD Uttar Pradesh INDIA 201005","Indian Non-Government Company"
"U74120UP2014OPC066684","22-10-2014","MRI PUBLICATION PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","FATEHPUR, HASANPUR, KURWAR, SULTANPUR Uttar Pradesh INDIA 227808","Indian Non-Government Company"
"U74120UP2014OPC066716","27-10-2014","JS MULTI SERVICES OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","1,000,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","570/155 Kasimpur Pakari Lucknow Uttar Pradesh INDIA 226005","Indian Non-Government Company"
"U74120UP2014OPC066822","5-11-2014","TRIUMPH LEGALWORLD PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","10, TAGORE NAGAR DAYAL BAGH AGRA Uttar Pradesh INDIA 282005","Indian Non-Government Company"
"U74120UP2014OPC066826","5-11-2014","AUXILIUM FINCONSULTANTS PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","D - 203, SECOND FLOOR, SECTOR - 10, GAUTAM BUDH NAGAR, NOIDA Uttar Pradesh INDIA 201301","Indian Non-Government Company"
"U74120UP2014OPC066894","7-11-2014","VAST CONSULTANCY PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","R-86 RAILWAY COLONY, PRATAP VIHAR, GHAZIABAD Uttar Pradesh INDIA 201009","Indian Non-Government Company"
"U74120UP2014OPC066938","10-11-2014","RENVOYER DESIGNS OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","1010/17 SHARDA BHAWAN KOTWALI ROAD RAEBARELI Uttar Pradesh INDIA 229001","Indian Non-Government Company"
"U74120UP2014OPC066969","11-11-2014","BANSRAJ INFRAGREEN DEVELOPERS OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","Shop No. - 5, Aryavart Complex, Upper Ground Floor Ismailganj Faizabad Road Lucknow Uttar Pradesh INDIA 226016","Indian Non-Government Company"
"U74120UP2014OPC066972","11-11-2014","WESECURE SECURITY SERVICES OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","H No. -255/89, KUNJ BHAWAN KUNDRI RAKABGANJ LUCKNOW Uttar Pradesh INDIA 226004","Indian Non-Government Company"
"U74120UP2014OPC066988","11-11-2014","BEENA AUTO EXPORTERS PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","500,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","Shop No. D - 135 & D - 136, Sahara Plaza Patrakarpuram, Gomti Nagar Lucknow Uttar Pradesh INDIA 226010","Indian Non-Government Company"
"U74120UP2014OPC067122","19-11-2014","NCS ADVISORY SERVICES OPC PRIVATE LIMITED","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","FLAT NO.303 GANPATI RESIDENCY OPP. HOLI PUBLIC SCHOOL AGRA Uttar Pradesh INDIA 282007","Indian Non-Government Company"
"U74120UP2014OPC067196","21-11-2014","SKYBEAUTY DESIGNER COLLECTION PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","OFFICE NO. 6, 2ND FLOOR, BAISOYA COMPLEX NAYA BANS, SEC-15, NOIDA NOIDA Uttar Pradesh INDIA 201301","Indian Non-Government Company"
