"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U24100UR2013PTC000937","25-11-2013","MOLECULAR REMEDIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","299, Shekh Puri Roorkee Uttarakhand INDIA 247667","Indian Non-Government Company"
"U24100UR2014PTC001081","14-03-2014","PARAZONE ORGANICS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","C/O SANJAY K. SAXENA, KK INDUSTRIES, KHASRA NO.165 KHATAUNI 1417,VILL MAHUA KHERAGANJ, NEAR BUS STAND KASHIPUR Uttarakhand INDIA 244713","Indian Non-Government Company"
"U24100UR2014PTC001125","21-04-2014","PASHUPATI EXTRUSIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","20,000,000.00","100,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","D-16, D-17, D-18 INDUSTRIAL ESTATE KASHIPUR Uttarakhand INDIA 244713","Indian Non-Government Company"
"U24110UR2004PTC029095","23-09-2004","UTTARANCHAL ALUMS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","2,200,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","KICHHA ROAD VILL POSTLALPUR RUDRAPUR U S NAGAR Uttarakhand INDIA","Indian Non-Government Company"
"U24110UR2005PTC030106","1-06-2005","DIGAMBER CHEMICALS PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","1,000,000.00","620,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO 63 & 64 SECTOR-7INTEGRATED INDUSTRIAL ESTATE RANIPUR HARIDWAR Uttarakhand INDIA","Indian Non-Government Company"
"U24110UR2005PTC030171","14-06-2005","UNITECH MUD CHEMICALS LAB PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","200,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","88, OLD CONNAUGHT PLACE DEHRADUN(UTTARANCHAL)-248001 DEHRADUN Uttarakhand INDIA","Indian Non-Government Company"
"U24110UR2007PTC032348","16-01-2007","LAUREL HEALTHCARE PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,200,000.00","510,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","C-112, NEHRU COLONY DEHRADUN Uttarakhand INDIA 248001","Indian Non-Government Company"
"U24110UR2014PTC001175","9-07-2014","ALCYONE PHARMACEUTICAL PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","87-C, T ESTATE, BANJARWALA, PATEL NAGAR, DEHRADUN Uttarakhand INDIA 248001","Indian Non-Government Company"
"U24111UR1954PTC002553","16-10-1954","NEW INDIA CHEMICAL PHARMACEUTICAL WORKS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,500,000.00","940,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","47GANDHI ROAD DEHRADUN UTTAR PRADESH Uttarakhand INDIA 248001","Indian Non-Government Company"
"U24111UR1958PTC002692","14-03-1958","HIMALAYAN PRODUCTS AND INDUSTRIES CORPN PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","500,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","SHARDA BUILDING KATHGODAM HALDWANI NAINITAL Uttarakhand INDIA 263126","Indian Non-Government Company"
"U24111UR1975PTC004099","7-04-1975","VIDYUT CARBON PRODUCTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","350,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","BHEL ANCILLARY ESTATE RANIPUR, HARDWAR UTTARANCHAL Uttarakhand INDIA 249403","Indian Non-Government Company"
"U24111UR1982PTC005659","21-05-1982","NEPTUNE CHEMICALS (INDIA) PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","100,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","82 TYAGI ROAD DEHRADUN UTTARANCHAL Uttarakhand INDIA","Indian Non-Government Company"
"U24111UR1982PTC005831","3-11-1982","RATTIRAJ MINERALS AND CHEMICALS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","250,000.00","200","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","35 GARHI DEHRADUN CANTT UTTARANCHAL Uttarakhand INDIA","Indian Non-Government Company"
"U24111UR1983PTC006291","24-10-1983","S.R.M. RASAYAN PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","400,000.00","4,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","VILL-PONDHAPOST-PONDHA DEHRADUN UTTARANCHAL Uttarakhand INDIA","Indian Non-Government Company"
"U24111UR1983PTC006308","2-11-1983","PLANT CHEMICALS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","20,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","19LAKKHI BAGH DEHRADUN UTTRANCHAL Uttarakhand INDIA","Indian Non-Government Company"
"U24111UR1983PTC006328","25-11-1983","JAIMURTY MINERALS AND CHEMICALS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","3,674,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","37/1RAJPUR ROAD DEHRADUN UTTARANCHAL Uttarakhand INDIA 248001","Indian Non-Government Company"
"U24111UR1983PTC006355","15-12-1983","ALAKNANDA MINERALS AND CHEMICALS PRIVATE LIMITED","CONVERTED TO LLP AND DISSOLVED","Private","Company Limited by Shares","2,000,000.00","2,000,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","INTERNATIONAL TADE CENTER59/4, RAJPUR ROAD DEHRADUN UTTARANCHAL Uttarakhand INDIA","Indian Non-Government Company"
